,,,points,tpm,tpa,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,fga,fgm,fta,ftm,fgp,ftp,tpp
player_id,firstname,lastname,,,,,,,,,,,,,,,,,,
8,LaMarcus,Aldridge,0.24226579520697167,0.03667481662591687,0.04961832061068702,0.24161073825503357,0.26770293609671847,0.2873417721518987,0.04305043050430504,0.20312500000000003,0.10273972602739725,0.10619469026548674,0.23004694835680753,0.24808935920047032,0.2848335388409371,0.1716535433070866,0.17266187050359713,0.5090335314080198,0.8104509060261273,0.5769230769230769
18,Kyle,Anderson,0.2357298474945534,0.10268948655256724,0.12786259541984732,0.26174496644295303,0.5578583765112262,0.5075949367088608,0.24600246002460024,0.375,0.6164383561643836,0.2271386430678466,0.27699530516431925,0.2933568489124045,0.27003699136868065,0.19370078740157481,0.14028776978417265,0.2792896387539615,0.4161979752530933,0.6268656716417911
21,Carmelo,Anthony,0.38823529411764707,0.38875305623471884,0.40076335877862596,0.19463087248322147,0.3488773747841105,0.3291139240506329,0.06888068880688807,0.49687499999999996,0.3150684931506849,0.15634218289085544,0.2535211267605634,0.41857730746619637,0.3785450061652281,0.2551181102362205,0.24280575539568344,0.25575835057258345,0.732013769363167,0.7571428571428571
28,D.J.,Augustin,0.09760348583877995,0.17359413202933985,0.16412213740458015,0.02348993288590604,0.036269430051813475,0.035443037974683546,0.12423124231242313,0.07187500000000002,0.10273972602739725,0.135693215339233,0.004694835680751174,0.10229276895943562,0.08138101109741061,0.06771653543307087,0.0683453237410072,0.20745490110845477,0.8247213779128673,0.8255813953488372
36,Harrison,Barnes,0.5403050108932461,0.3740831295843521,0.3692748091603053,0.27181208053691275,0.5613126079447324,0.5139240506329115,0.22386223862238622,0.259375,0.3698630136986301,0.3185840707964602,0.07042253521126761,0.47971781305114636,0.46855733662145505,0.6566929133858268,0.6187050359712231,0.3299416743828768,0.7143083361610676,0.7906976744186046
38,Will,Barton,0.4583877995642701,0.4180929095354523,0.4446564885496183,0.1610738255033557,0.4991364421416235,0.42658227848101266,0.34686346863468637,0.346875,0.3972602739726027,0.3716814159292035,0.15492957746478875,0.5437977660199882,0.4907521578298397,0.20314960629921258,0.18345323741007194,0.2496455747316021,0.6655209452201933,0.7339055793991416
44,Kent,Bazemore,0.040087145969498916,0.09290953545232274,0.10019083969465649,0.03355704697986577,0.06044905008635579,0.0569620253164557,0.03444034440344404,0.225,0.18493150684931506,0.05604719764011799,0.046948356807511735,0.06995884773662552,0.03452527743526511,0.03307086614173228,0.026978417266187053,0.008665835335772254,0.6045714285714285,0.7238095238095238
45,Bradley,Beal,0.38649237472766884,0.16381418092909536,0.21564885496183206,0.11409395973154364,0.21588946459412778,0.20126582278481014,0.3284132841328413,0.26875,0.2671232876712329,0.3805309734513274,0.08450704225352113,0.44150499706055263,0.406905055487053,0.33385826771653543,0.3183453237410072,0.27298038195202834,0.7330246913580245,0.5929203539823009
46,Malik,Beasley,0.42091503267973857,0.6259168704156479,0.6583969465648855,0.08389261744966443,0.3402417962003454,0.2810126582278481,0.13899138991389914,0.265625,0.3013698630136986,0.12094395280235988,0.07042253521126761,0.5167548500881834,0.41553637484586925,0.10551181102362205,0.09532374100719425,0.14603541527644015,0.6751173708920188,0.7420289855072464
53,Patrick,Beverley,0.23398692810457516,0.23227383863080683,0.27003816793893126,0.22818791946308722,0.29533678756476683,0.30253164556962026,0.3665436654366544,0.6062500000000001,0.5205479452054793,0.23893805309734512,0.29107981220657275,0.2657260435038213,0.21454993834771888,0.24724409448818896,0.19964028776978418,0.16831981158987186,0.5292517006802722,0.6713780918727915
59,Eric,Bledsoe,0.20261437908496732,0.12469437652811736,0.15744274809160305,0.087248322147651,0.2089810017271157,0.1860759493670886,0.27921279212792127,0.228125,0.4794520547945205,0.3303834808259587,0.09859154929577466,0.24926513815402707,0.2096177558569667,0.1889763779527559,0.16366906474820145,0.20401197368161073,0.6146697388632871,0.6181818181818182
64,Devin,Booker,0.8745098039215686,0.5281173594132029,0.5324427480916031,0.174496644295302,0.5250431778929188,0.4506329113924051,0.44649446494464945,0.596875,0.5821917808219177,0.5634218289085545,0.14084507042253522,0.9194591416813639,0.8927250308261406,0.6519685039370078,0.6474820143884893,0.3185233345074908,0.7871496924128503,0.7741935483870968
68,Avery,Bradley,0.1420479302832244,0.20537897310513448,0.20706106870229007,0.09060402684563759,0.11571675302245249,0.1189873417721519,0.04551045510455104,0.321875,0.3835616438356164,0.07964601769911504,0.04225352112676056,0.17989417989417988,0.15166461159062886,0.023622047244094488,0.023381294964028777,0.21861516206384224,0.8265664160401003,0.7741935483870968
71,Malcolm,Brogdon,0.2762527233115468,0.1491442542787286,0.18416030534351144,0.10067114093959732,0.2072538860103627,0.189873417721519,0.25338253382533826,0.17500000000000002,0.2054794520547945,0.21238938053097345,0.06572769953051644,0.29747207524985303,0.27743526510480887,0.26141732283464564,0.2517985611510791,0.2912907625704352,0.7480112044817926,0.6321243523316062
75,Jaylen,Brown,0.8945533769063181,0.5623471882640587,0.607824427480916,0.2751677852348993,0.77720207253886,0.6734177215189874,0.3763837638376384,0.678125,0.6506849315068493,0.71976401179941,0.13615023474178403,0.9359200470311582,0.9235511713933416,0.7102362204724408,0.6151079136690648,0.3357446638876801,0.605295656724228,0.7221350078492935
82,Reggie,Bullock,0.30239651416122004,0.4767726161369193,0.5038167938931297,0.12416107382550336,0.4231433506044905,0.3569620253164557,0.12423124231242313,0.440625,0.41780821917808214,0.10914454277286136,0.07042253521126761,0.3509700176366843,0.2860665844636252,0.09763779527559055,0.09352517985611512,0.16708994173392921,0.7503607503607503,0.7386363636363636
83,Trey,Burke,0.08017429193899782,0.07579462102689487,0.09541984732824427,0.0,0.0,0.0,0.06888068880688807,0.07500000000000001,0.08904109589041095,0.05014749262536873,0.0,0.11581422692533805,0.08877928483353884,0.04566929133858268,0.046762589928057555,0.17384902791391155,0.8502164502164502,0.62
84,Alec,Burks,0.38605664488017427,0.39853300733496333,0.38740458015267176,0.1442953020134228,0.547495682210708,0.4556962025316456,0.2853628536285363,0.634375,0.5890410958904109,0.23893805309734512,0.13145539906103287,0.40681951793062904,0.32305795314426633,0.415748031496063,0.38848920863309355,0.14124733522314759,0.7049040511727078,0.8029556650246306
86,Jimmy,Butler,0.7128540305010893,0.12469437652811736,0.1784351145038168,0.46308724832214765,0.4939550949913644,0.5367088607594938,0.4698646986469865,0.3,0.8972602739726028,0.40117994100294985,0.1784037558685446,0.6584362139917695,0.6707768187422934,0.9385826771653543,0.9244604316546764,0.3723015261973265,0.7748253968253966,0.5454545454545454
89,Kentavious,Caldwell-Pope,0.4174291938997821,0.4058679706601467,0.4017175572519084,0.1308724832214765,0.32642487046632124,0.28860759493670884,0.16974169741697417,0.390625,0.5821917808219177,0.2743362831858407,0.13615023474178403,0.46149323927101704,0.41553637484586925,0.24094488188976376,0.24280575539568344,0.2499740859010583,0.8111010009099182,0.7885985748218527
114,Mike,Conley,0.4309368191721133,0.4449877750611247,0.43225190839694655,0.15436241610738255,0.2659758203799654,0.25316455696202533,0.4993849938499385,0.446875,0.6986301369863013,0.3775811209439528,0.107981220657277,0.4767783656672545,0.4217016029593095,0.27874015748031494,0.2517985611510791,0.23262950623972067,0.6631938963430675,0.8035320088300221
115,Pat,Connaughton,0.3089324618736383,0.43765281173594134,0.4360687022900763,0.15436241610738255,0.4265975820379965,0.37088607594936707,0.1094710947109471,0.2625,0.4246575342465753,0.09439528023598821,0.0892018779342723,0.32510288065843623,0.3070283600493219,0.09133858267716535,0.0881294964028777,0.3016042331389056,0.7608294930875577,0.7833698030634574
117,DeMarcus,Cousins,0.17342047930283225,0.10024449877750612,0.12213740458015267,0.24496644295302014,0.2970639032815198,0.310126582278481,0.07872078720787208,0.40625,0.2465753424657534,0.23893805309734512,0.10328638497652583,0.17225161669606115,0.16769420468557336,0.2141732283464567,0.18345323741007194,0.34325891710941037,0.5998639455782313,0.640625
118,Robert,Covington,0.24618736383442263,0.33251833740831294,0.34351145038167935,0.20134228187919462,0.544041450777202,0.4746835443037975,0.0996309963099631,0.5750000000000001,0.7328767123287672,0.1976401179941003,0.4460093896713615,0.27630805408583187,0.2342786683107275,0.12283464566929134,0.11870503597122302,0.20760827219677436,0.7588850174216026,0.7555555555555555
121,Jae,Crowder,0.3015250544662309,0.37163814180929094,0.424618320610687,0.11744966442953021,0.6113989637305699,0.49240506329113926,0.1795817958179582,0.64375,0.7397260273972601,0.1976401179941003,0.17370892018779344,0.35978835978835977,0.2897657213316893,0.1779527559055118,0.1564748201438849,0.15637856289005492,0.6338624338624339,0.6831460674157304
123,Seth,Curry,0.4222222222222222,0.43276283618581907,0.39503816793893126,0.06711409395973154,0.26770293609671847,0.22151898734177217,0.2853628536285363,0.49375,0.39041095890410954,0.30973451327433627,0.08450704225352113,0.4391534391534392,0.44636251541307026,0.15748031496062992,0.1528776978417266,0.3725212476033576,0.7623626373626373,0.855072463768116
124,Stephen,Curry,1.0,1.0,1.0,0.14093959731543623,0.6718480138169256,0.5455696202531646,0.6543665436654367,0.546875,0.8424657534246576,0.7935103244837758,0.15492957746478875,1.0,0.9321824907521579,0.6913385826771654,0.7032374100719425,0.2756207727599401,0.821476942921638,0.7805343511450382
126,Anthony,Davis,0.3908496732026144,0.03667481662591687,0.07347328244274809,0.3523489932885906,0.46286701208981,0.47215189873417723,0.14268142681426815,0.259375,0.3835616438356164,0.21533923303834807,0.4460093896713615,0.4009406231628454,0.4352651048088779,0.4346456692913386,0.3471223021582734,0.44537180186423797,0.5115986394557823,0.38961038961038963
131,Dewayne,Dedmon,0.17429193899782136,0.0488997555012225,0.05629770992366412,0.38926174496644295,0.48186528497409326,0.5000000000000001,0.04920049200492005,0.628125,0.1643835616438356,0.21238938053097345,0.22065727699530516,0.1657848324514991,0.19112207151664612,0.184251968503937,0.1564748201438849,0.5117451583751816,0.5914994096812278,0.6779661016949152
136,DeMar,DeRozan,0.9647058823529413,0.1295843520782396,0.15267175572519084,0.1879194630872483,0.5906735751295336,0.5037974683544304,0.4920049200492005,0.5593750000000001,0.5205479452054793,0.56047197640118,0.13145539906103287,0.9635508524397414,1.0,1.0,1.0,0.3914144492733175,0.7963037484164244,0.6625
142,Spencer,Dinwiddie,0.49803921568627446,0.38875305623471884,0.4217557251908397,0.16442953020134227,0.42141623488773744,0.37088607594936707,0.5129151291512916,0.5625,0.4041095890410959,0.3775811209439528,0.0892018779342723,0.5332157554379776,0.4586929716399507,0.5165354330708662,0.46223021582733814,0.20503815658077118,0.6476477337923121,0.7194570135746606
147,Andre,Drummond,0.25620915032679736,0.0,0.0028625954198473282,0.8187919463087249,0.773747841105354,0.8759493670886077,0.16359163591635917,0.609375,0.5890410958904109,0.36578171091445427,0.36619718309859156,0.25396825396825395,0.3094944512946979,0.30866141732283464,0.18525179856115107,0.5793166649879932,0.23385714285714287,0.0
153,Kevin,Durant,0.7616557734204792,0.31784841075794623,0.3215648854961832,0.09731543624161074,0.6632124352331605,0.5227848101265823,0.4661746617466175,0.353125,0.36301369863013694,0.6106194690265486,0.26760563380281693,0.7037037037037037,0.750924784217016,0.7244094488188977,0.7500000000000001,0.4241547053950606,0.8473111658456487,0.771513353115727
157,Wayne,Ellington,0.09760348583877995,0.21026894865525672,0.2166030534351145,0.020134228187919462,0.07253886010362695,0.060759493670886074,0.025830258302583026,0.09687500000000002,0.1506849315068493,0.02359882005899705,0.028169014084507043,0.1164021164021164,0.08877928483353884,0.02204724409448819,0.019784172661870505,0.17011974141111896,0.7253968253968255,0.7577092511013216
169,Derrick,Favors,0.05708061002178649,0.004889975550122249,0.016221374045801526,0.18456375838926173,0.15889464594127806,0.1860759493670886,0.014760147601476013,0.14375000000000002,0.10273972602739725,0.0,0.056338028169014086,0.07583774250440917,0.08261405672009864,0.03307086614173228,0.02158273381294964,0.4571211227372932,0.4068571428571428,0.23529411764705882
175,Dorian,Finney-Smith,0.44531590413943356,0.5378973105134475,0.5257633587786259,0.5268456375838926,0.5008635578583764,0.5658227848101266,0.21894218942189422,0.69375,0.7191780821917808,0.2713864306784661,0.23004694835680753,0.4744268077601411,0.4599260172626387,0.1700787401574803,0.13129496402877697,0.32235319687535957,0.48511904761904767,0.7985480943738656
176,Bryn,Forbes,0.28845315904139435,0.33985330073349634,0.3177480916030534,0.026845637583892613,0.09153713298791019,0.07721518987341772,0.0910209102091021,0.278125,0.17123287671232876,0.1504424778761062,0.023474178403755867,0.32098765432098764,0.2823674475955611,0.14488188976377953,0.1474820143884892,0.23572415381072986,0.8283730158730158,0.8348348348348348
186,Rudy,Gay,0.15729847494553376,0.17114914425427874,0.19370229007633588,0.1711409395973154,0.25734024179620035,0.25316455696202533,0.052890528905289044,0.240625,0.15753424657534246,0.10619469026548674,0.0892018779342723,0.18753674309229865,0.15413070283600494,0.11811023622047244,0.10431654676258993,0.19662382675786327,0.6454490657022303,0.6896551724137931
189,Paul,George,0.31285403050108934,0.24205378973105135,0.26622137404580154,0.026845637583892613,0.30569948186528495,0.23417721518987344,0.2140221402214022,0.19375,0.47260273972602734,0.35693215339233036,0.06103286384976526,0.36331569664902996,0.310727496917386,0.24566929133858267,0.23741007194244604,0.20763473888900652,0.7528571428571429,0.7096774193548387
190,Taj,Gibson,0.08235294117647059,0.04156479217603912,0.04103053435114504,0.2986577181208054,0.20552677029360966,0.26329113924050634,0.02952029520295203,0.421875,0.15753424657534246,0.0471976401179941,0.20187793427230047,0.07995296884185774,0.09001233045622689,0.08346456692913386,0.07733812949640288,0.4854263048405626,0.7109440267335003,0.7906976744186046
195,Aaron,Gordon,0.49978213507625274,0.22982885085574573,0.27385496183206104,0.47315436241610737,0.5336787564766838,0.569620253164557,0.24354243542435422,0.46875,0.30821917808219174,0.3864306784660767,0.23943661971830987,0.5055849500293945,0.5388409371146733,0.4204724409448819,0.3525179856115108,0.4237702342590931,0.5683359690739764,0.6550522648083623
196,Eric,Gordon,0.2989106753812636,0.3080684596577017,0.2900763358778626,0.036912751677852344,0.10535405872193437,0.0911392405063291,0.17589175891758918,0.14375000000000002,0.18493150684931506,0.2831858407079646,0.08450704225352113,0.2980599647266314,0.29346485819975343,0.2062992125984252,0.18165467625899281,0.34390039432421526,0.6338624338624339,0.8289473684210527
200,Jerami,Grant,0.38910675381263615,0.2371638141809291,0.2595419847328244,0.08389261744966443,0.2400690846286701,0.20759493670886076,0.13407134071340712,0.29375,0.2945205479452055,0.2448377581120944,0.24413145539906103,0.4062316284538507,0.35635018495684345,0.4440944881889764,0.42266187050359716,0.2279659866682141,0.7292374292374291,0.7132352941176471
203,Danny,Green,0.17559912854030502,0.33985330073349634,0.34541984732824427,0.13758389261744966,0.2072538860103627,0.20379746835443036,0.07749077490774907,0.346875,0.4863013698630137,0.13864306784660768,0.19248826291079812,0.21575543797766022,0.16892725030826142,0.01732283464566929,0.012589928057553958,0.15272441028246075,0.5606349206349206,0.7679558011049724
204,Draymond,Green,0.20217864923747275,0.06601466992665037,0.09637404580152671,0.2348993288590604,0.6908462867012088,0.5949367088607596,0.5658056580565806,0.665625,0.6164383561643836,0.5811209439528023,0.3474178403755869,0.21340388007054675,0.22441430332922316,0.2204724409448819,0.1618705035971223,0.414562976596207,0.4279100529100528,0.5346534653465347
206,JaMychal,Green,0.17037037037037037,0.08801955990220049,0.13549618320610687,0.2852348993288591,0.3177892918825561,0.34050632911392403,0.06396063960639606,0.503125,0.2945205479452055,0.15634218289085544,0.13145539906103287,0.17871840094062316,0.17385943279901356,0.16062992125984252,0.1618705035971223,0.34172307262396384,0.813477088948787,0.5070422535211268
207,Jeff,Green,0.32156862745098036,0.1466992665036675,0.1765267175572519,0.15436241610738255,0.28842832469775476,0.26962025316455696,0.10824108241082411,0.459375,0.21232876712328766,0.20353982300884954,0.15023474178403756,0.29747207524985303,0.32182490752157833,0.33070866141732286,0.31115107913669066,0.44251844928472306,0.7151312861593235,0.6486486486486487
208,Blake,Griffin,0.12766884531590414,0.10268948655256724,0.1498091603053435,0.19798657718120805,0.2383419689119171,0.24936708860759493,0.12546125461254612,0.26875,0.18493150684931506,0.07079646017699115,0.07511737089201878,0.157554379776602,0.1319358816276202,0.11968503937007874,0.09712230215827339,0.2192885560403094,0.5469047619047618,0.535031847133758
215,Tim,Hardaway Jr.,0.23790849673202613,0.2665036674816626,0.3053435114503817,0.036912751677852344,0.19516407599309155,0.1569620253164557,0.1070110701107011,0.178125,0.2465753424657534,0.06784660766961652,0.03755868544600939,0.29218106995884774,0.23181257706535144,0.16377952755905512,0.14028776978417265,0.15079502270406453,0.6033509700176367,0.68125
216,James,Harden,0.6993464052287581,0.44254278728606355,0.5152671755725191,0.21140939597315436,0.8186528497409327,0.679746835443038,0.958179581795818,0.53125,0.6232876712328768,0.991150442477876,0.20657276995305165,0.6584362139917695,0.5573366214549939,0.9669291338582677,0.9658273381294965,0.1869265708633716,0.7947141316073354,0.6703703703703704
218,Montrezl,Harrell,0.39694989106753814,0.009779951100244499,0.01717557251908397,0.5268456375838926,0.45077720207253885,0.529113924050633,0.16974169741697417,0.390625,0.2054794520547945,0.19174041297935102,0.23943661971830987,0.31216931216931215,0.4241676942046856,0.5133858267716536,0.4244604316546763,0.724368019752934,0.5506493506493506,0.4444444444444444
220,Gary,Harris,0.2701525054466231,0.2885085574572127,0.29770992366412213,0.10738255033557047,0.09153713298791019,0.10759493670886075,0.12300123001230012,0.3,0.4041095890410959,0.1504424778761062,0.056338028169014086,0.3062904174015285,0.27127003699136865,0.14330708661417324,0.1420863309352518,0.24295661236556743,0.7918796992481203,0.7564102564102564
222,Tobias,Harris,0.6052287581699347,0.30317848410757947,0.3187022900763359,0.2818791946308725,0.8031088082901554,0.6949367088607595,0.3419434194341944,0.565625,0.4041095890410959,0.36578171091445427,0.24882629107981222,0.6660787771898883,0.6744759556103577,0.35118110236220473,0.3381294964028777,0.36563345954349014,0.7459618208516887,0.7425149700598802
227,Gordon,Hayward,0.30501089324618735,0.21271393643031786,0.21183206106870228,0.12080536912751678,0.25734024179620035,0.23417721518987344,0.20418204182041821,0.21562500000000004,0.30821917808219174,0.21238938053097345,0.10328638497652583,0.3315696649029982,0.313193588162762,0.22992125984251968,0.21942446043165467,0.301442621169311,0.7363809523809524,0.7837837837837838
237,George,Hill,0.11721132897603487,0.10268948655256724,0.13740458015267176,0.12416107382550336,0.15716753022452504,0.1620253164556962,0.14022140221402213,0.20000000000000004,0.2876712328767123,0.10619469026548674,0.028169014084507043,0.13815402704291593,0.11344019728729962,0.10551181102362205,0.10791366906474821,0.2111059128634527,0.8375586854460093,0.5833333333333334
242,Jrue,Holiday,0.612636165577342,0.39119804400978,0.3883587786259542,0.2651006711409396,0.45077720207253885,0.43037974683544306,0.6629766297662977,0.453125,0.8972602739726028,0.6194690265486725,0.17370892018779344,0.6801881246325691,0.6794081381011098,0.3291338582677165,0.28956834532374104,0.350691777376109,0.6287055667337356,0.7862407862407862
243,Justin,Holiday,0.2962962962962963,0.44254278728606355,0.46564885496183206,0.08389261744966443,0.21588946459412778,0.189873417721519,0.14145141451414514,0.428125,0.3767123287671233,0.17699115044247787,0.15492957746478875,0.36037624926513817,0.2897657213316893,0.09133858267716535,0.0827338129496403,0.1549748697954092,0.68110599078341,0.7418032786885246
246,Richaun,Holmes,0.18257080610021786,0.004889975550122249,0.004770992366412214,0.325503355704698,0.3488773747841105,0.37848101265822787,0.05043050430504305,0.3625,0.1232876712328767,0.13864306784660768,0.20657276995305165,0.157554379776602,0.2219482120838471,0.15433070866141732,0.13309352517985612,0.7484573873124084,0.6123249299719886,0.8
247,Rodney,Hood,0.03398692810457517,0.07334963325183375,0.08874045801526717,0.036912751677852344,0.04145077720207255,0.04430379746835444,0.030750307503075027,0.04687500000000001,0.08904109589041095,0.0058997050147492625,0.028169014084507043,0.05878894767783657,0.032059186189889025,0.023622047244094488,0.023381294964028777,0.0735859052379918,0.8265664160401003,0.6451612903225806
249,Danuel,House Jr.,0.08540305010893245,0.11246943765281174,0.12786259541984732,0.07046979865771813,0.13644214162348878,0.12658227848101267,0.04920049200492005,0.13437500000000002,0.14383561643835616,0.09144542772861357,0.08450704225352113,0.10464432686654909,0.07398273736128237,0.10078740157480315,0.08453237410071943,0.1307790231937157,0.588095238095238,0.6865671641791045
250,Dwight,Howard,0.14291938997821352,0.019559902200488997,0.015267175572519083,0.4261744966442953,0.36787564766839376,0.43037974683544306,0.03198031980319803,0.35625,0.2328767123287671,0.12094395280235988,0.18779342723004694,0.10934744268077601,0.14426633785450063,0.2503937007874016,0.18525179856115107,0.6518055459841711,0.4339468302658487,1.0
256,Andre,Iguodala,0.024836601307189544,0.04645476772616137,0.08015267175572519,0.0738255033557047,0.10189982728842834,0.10253164556962024,0.15744157441574416,0.10937500000000003,0.19863013698630136,0.07669616519174041,0.11267605633802817,0.04820693709582599,0.025893958076448828,0.029921259842519685,0.023381294964028777,0.09912036881143416,0.5701863354037267,0.4523809523809524
260,Brandon,Ingram,0.6074074074074074,0.20782396088019559,0.24427480916030533,0.12080536912751678,0.5025906735751295,0.4139240506329114,0.4231242312423124,0.375,0.2602739726027397,0.504424778761062,0.1267605633802817,0.6407995296884186,0.625154130702836,0.5968503937007874,0.5611510791366907,0.3260804362000701,0.7117742136018899,0.6640625
264,Reggie,Jackson,0.54640522875817,0.43765281173594134,0.5152671755725191,0.12416107382550336,0.36614853195164077,0.31518987341772153,0.44649446494464945,0.46562499999999996,0.3835616438356164,0.504424778761062,0.07511737089201878,0.7207524985302763,0.5844636251541308,0.27086614173228346,0.2589928057553957,0.14721679613228988,0.7378787878787878,0.662962962962963
265,LeBron,James,0.7010893246187364,0.38386308068459657,0.4312977099236641,0.19463087248322147,0.6269430051813472,0.5329113924050634,0.42558425584255843,0.334375,0.5273972602739725,0.5722713864306784,0.28169014084507044,0.6948853615520282,0.7570900123304563,0.5023622047244094,0.43345323741007197,0.44836976208700696,0.6021229544449358,0.6946902654867256
276,Stanley,Johnson,0.10806100217864922,0.08801955990220049,0.10687022900763359,0.1040268456375839,0.15889464594127806,0.15569620253164557,0.08610086100861009,0.309375,0.28082191780821913,0.07669616519174041,0.06572769953051644,0.11934156378600824,0.10974106041923551,0.11338582677165354,0.09172661870503598,0.30558615543157674,0.5447368421052632,0.6428571428571429
281,Damian,Jones,0.1625272331154684,0.02444987775061125,0.02862595419847328,0.24161073825503357,0.23316062176165803,0.2620253164556962,0.07257072570725707,0.3625,0.1643835616438356,0.14454277286135692,0.22065727699530516,0.12286890064667844,0.17879161528976573,0.2,0.1618705035971223,0.7761594578194978,0.5346419483824063,0.6666666666666666
